AtomicNumber,Symbol,Element,Type,Natural,Phase,Radioactive,Group,Period,Block,ElectronConfig,NobleGasConfig,NumberofValence,NumberofShells,Appearance,xpos,ypos,Density,HeatCapacity,HeatOfFusion,HeatOfVaporization,AtomicRadius,CovalentRadius,VanDerWaalsRadius,Electronegativity,OxidationStates,IonizationEnergy,ThermalConductivity,ElectronAffinity,Discovery,DiscoveredBy,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons
1,H,Hydrogen,Nonmetal,Yes,Gas,No,1,1,s,1s1,1s1,1,1,Colorless Gas,1,1,8.988e-5,14.304,0.117,0.904,53,38,120,2.2,1,1312,0.1805,72.769,1766,H. Cavendish,1.008,0,1,1
2,He,Helium,Noble gas,Yes,Gas,No,18,1,s,1s2,1s2,NA,1,"Colorless Gas, Exhibiting A Red-Orange Glow When Placed In A High-Voltage Electric Field",18,1,1.785e-4,5.193,0.0138,0.0829,31,32,140,NA,0,2372.3,0.1513,-50,1868,"P. Janssen, N. Lockyer",4.0026,2,2,2
3,Li,Lithium,Alkali metal,Yes,Solid,No,1,2,s,1s2 2s1,[He] 2s1,1,2,Silvery-White,1,2,0.534,3.582,3,136,167,134,182,0.98,1,520.2,84.8,59.632,1817,A. Arfwedson,7,4,3,3
4,Be,Beryllium,Alkaline earth metal,Yes,Solid,No,2,2,s,1s2 2s2,[He] 2s2,2,2,White-Gray Metallic,2,2,1.85,1.825,7.895,292,112,90,153,1.57,2,899.5,200,-50,1798,N. Vauquelin,9.012183,5,4,4
5,B,Boron,Metalloid,Yes,Solid,No,13,2,p,1s2 2s2 2p1,[He] 2s2 2p1,3,2,Black-Brown,13,2,2.34,1.026,50.2,508,87,82,192,2.04,3,800.6,27.4,26.989,1808,"L. Gay-Lussac, L.J. Thénard",10.81,6,5,5
6,C,Carbon,Nonmetal,Yes,Solid,No,14,2,p,1s2 2s2 2p2,[He] 2s2 2p2,4,2,NA,14,2,2.267,0.709,117,NA,67,77,170,2.55,"-4,-3,-2,-1,0,1,2,3,4",1086.5,140,121.776,NA,NA,12.011,6,6,6
7,N,Nitrogen,Nonmetal,Yes,Gas,No,15,2,p,1s2 2s2 2p3,[He] 2s2 2p3,5,2,"Colorless Gas, Liquid Or Solid",15,2,0.0012506,1.04,0.72,5.57,56,75,155,3.04,"-3,2,3,4,5",1402.3,0.02583,-0.07,1772,D. Rutherford,14.007,7,7,7
8,O,Oxygen,Nonmetal,Yes,Gas,No,16,2,p,1s2 2s2 2p4,[He] 2s2 2p4,6,2,NA,16,2,0.001429,0.918,0.444,6.82,48,73,152,3.44,-2,1313.9,0.02658,140.976,1771,W. Scheele,15.999,8,8,8
9,F,Fluorine,Halogen,Yes,Gas,No,17,2,p,1s2 2s2 2p5,[He] 2s2 2p5,7,2,NA,17,2,0.001696,0.824,0.51,6.62,42,71,147,3.98,-1,1681,0.0277,328.164,1810,A.-M. Ampère,18.99840316,10,9,9
10,Ne,Neon,Noble gas,Yes,Gas,No,18,2,p,1s2 2s2 2p6,[He] 2s2 2p6,8,2,Colorless Gas Exhibiting An Orange-Red Glow When Placed In A High Voltage Electric Field,18,2,8.999e-4,1.03,0.335,1.71,38,69,154,NA,0,2080.7,0.0491,-120,1898,"W. Ramsay, W. Travers",20.18,10,10,10
11,Na,Sodium,Alkali metal,Yes,Solid,No,1,3,s,1s2 2s2 2p6 3s1,[Ne] 3s1,1,3,Silvery White Metallic,1,3,0.971,1.228,2.6,97.42,190,154,227,0.93,1,495.8,142,52.867,1807,H. Davy,22.9897693,12,11,11
12,Mg,Magnesium,Alkaline earth metal,Yes,Solid,No,2,3,s,1s2 2s2 2p6 3s2,[Ne] 3s2,2,3,Shiny Grey Solid,2,3,1.738,1.023,8.48,128,145,130,173,1.31,2,737.7,156,-40,1755,J. Black,24.305,12,12,12
13,Al,Aluminium,Post-transition metal,Yes,Solid,No,13,3,p,1s2 2s2 2p6 3s2 3p1,[Ne] 3s2 3p1,3,3,Silvery Gray Metallic,13,3,2.698,0.897,10.71,284,118,118,184,1.61,3,577.5,237,41.762,1825,H. C. Ørsted,26.981538,14,13,13
14,Si,Silicon,Metalloid,Yes,Solid,No,14,3,p,1s2 2s2 2p6 3s2 3p2,[Ne] 3s2 3p2,4,3,"Crystalline, Reflective With Bluish-Tinged Faces",14,3,2.3296,0.705,50.21,359,111,111,210,1.9,"-4,4",786.5,149,134.068,1823,J. Berzelius,28.085,14,14,14
15,P,Phosphorus,Nonmetal,Yes,Solid,No,15,3,p,1s2 2s2 2p6 3s2 3p3,[Ne] 3s2 3p3,5,3,"Colourless, Waxy White, Yellow, Scarlet, Red, Violet, Black",15,3,1.82,0.769,0.66,12.4,98,106,180,2.19,"-3,3,5",1011.8,0.236,72.037,1669,H. Brand,30.973762,16,15,15
16,S,Sulfur,Nonmetal,Yes,Solid,No,16,3,p,1s2 2s2 2p6 3s2 3p4,[Ne] 3s2 3p4,6,3,Lemon Yellow Sintered Microcrystals,16,3,2.067,0.71,1.727,45,88,102,180,2.58,"-2,2,4,6",999.6,0.205,200.41,NA,NA,32.07,16,16,16
17,Cl,Chlorine,Halogen,Yes,Gas,No,17,3,p,1s2 2s2 2p6 3s2 3p5,[Ne] 3s2 3p5,7,3,Pale Yellow-Green Gas,17,3,0.003214,0.479,6.406,20.41,79,99,175,3.16,"-1,1,3,5,7",1251.2,0.0089,348.575,1774,W. Scheele,35.45,18,17,17
18,Ar,Argon,Noble gas,Yes,Gas,No,18,3,p,1s2 2s2 2p6 3s2 3p6,[Ne] 3s2 3p6,8,3,Colorless Gas Exhibiting A Lilac/Violet Glow When Placed In A High Voltage Electric Field,18,3,0.0017837,0.52,1.18,6.53,71,97,188,NA,0,1520.6,0.01772,-96,1894,"Lord Rayleig, W. Ramsay",39.9,22,18,18
19,K,Potassium,Alkali metal,Yes,Solid,No,1,4,s,1s2 2s2 2p6 3s2 3p6 4s1,[Ar] 4s1,1,4,Silvery Gray,1,4,0.862,0.757,2.321,76.9,243,196,275,0.82,1,418.8,102.5,48.383,1807,H. Davy,39.0983,20,19,19
20,Ca,Calcium,Alkaline earth metal,Yes,Solid,No,2,4,s,1s2 2s2 2p6 3s2 3p6 4s2,[Ar] 4s2,2,4,NA,2,4,1.54,0.647,8.54,154.7,194,174,231,1,2,589.8,201,2.37,1808,H. Davy,40.08,20,20,20
21,Sc,Scandium,Transition metal,Yes,Solid,No,3,4,d,1s2 2s2 2p6 3s2 3p6 4s2 3d1,[Ar] 3d1 4s2,NA,4,Silvery White,3,4,2.989,0.568,14.1,332.7,184,144,211,1.36,3,633.1,15.8,18,1879,F. Nilson,44.95591,24,21,21
22,Ti,Titanium,Transition metal,Yes,Solid,No,4,4,d,1s2 2s2 2p6 3s2 3p6 4s2 3d2,[Ar] 3d2 4s2,NA,4,Silvery Grey-White Metallic,4,4,4.54,0.523,14.15,425,176,136,NA,1.54,"3,4",658.8,21.9,8,1791,W. Gregor,47.867,26,22,22
23,V,Vanadium,Transition metal,Yes,Solid,No,5,4,d,1s2 2s2 2p6 3s2 3p6 4s2 3d3,[Ar] 3d3 4s2,NA,4,Blue-Silver-Grey Metal,5,4,6.11,0.489,21.5,444,171,125,NA,1.63,"2,3,4,5",650.9,30.7,50.911,1801,M. del Río,50.9415,28,23,23
24,Cr,Chromium,Transition metal,Yes,Solid,No,6,4,d,1s2 2s2 2p6 3s2 3p6 4s1 3d5,[Ar] 3d5 4s1,NA,4,Silvery Metallic,6,4,7.15,0.449,21,339.5,166,127,NA,1.66,"2,3,6",652.9,93.9,65.21,1794,N. Vauquelin,51.996,28,24,24
25,Mn,Manganese,Transition metal,Yes,Solid,No,7,4,d,1s2 2s2 2p6 3s2 3p6 4s2 3d5,[Ar] 3d5 4s2,NA,4,Silvery Metallic,7,4,7.44,0.479,12.91,221,161,139,NA,1.55,"2,3,4,6,7",717.3,7.81,-50,1774,W. Scheele,54.93804,30,25,25
26,Fe,Iron,Transition metal,Yes,Solid,No,8,4,d,1s2 2s2 2p6 3s2 3p6 4s2 3d6,[Ar] 3d6 4s2,NA,4,Lustrous Metallic With A Grayish Tinge,8,4,7.874,0.449,13.81,340,156,125,NA,1.83,"2,3,6",762.5,80.4,14.785,NA,NA,55.84,30,26,26
27,Co,Cobalt,Transition metal,Yes,Solid,No,9,4,d,1s2 2s2 2p6 3s2 3p6 4s2 3d7,[Ar] 3d7 4s2,NA,4,Hard Lustrous Gray Metal,9,4,8.86,0.421,16.06,377,152,126,NA,1.88,"2,3",760.4,100,63.898,1735,G. Brandt,58.93319,32,27,27
28,Ni,Nickel,Transition metal,Yes,Solid,No,10,4,d,1s2 2s2 2p6 3s2 3p6 4s2 3d8,[Ar] 3d8 4s2,NA,4,"Lustrous, Metallic, And Silver With A Gold Tinge",10,4,8.912,0.444,17.48,379,149,121,163,1.91,"2,3",737.1,90.9,111.65,1751,F. Cronstedt,58.693,31,28,28
29,Cu,Copper,Transition metal,Yes,Solid,No,11,4,d,1s2 2s2 2p6 3s2 3p6 4s1 3d10,[Ar] 3d10 4s1,NA,4,Red-Orange Metallic Luster,11,4,8.96,0.385,13.26,300.4,145,138,140,1.9,"1,2",745.5,401,119.235,NA,NA,63.55,35,29,29
30,Zn,Zinc,Transition metal,Yes,Solid,No,12,4,d,1s2 2s2 2p6 3s2 3p6 4s2 3d10,[Ar] 3d10 4s2,NA,4,Silver-Gray,12,4,7.134,0.388,7.32,115,142,131,139,1.65,2,906.4,116,-60,NA,NA,65.4,35,30,30
31,Ga,Gallium,Post-transition metal,Yes,Solid,No,13,4,p,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p1,[Ar] 3d10 4s2 4p1,3,4,Silver-White,13,4,5.907,0.371,5.59,256,136,126,187,1.81,3,578.8,40.6,41,1875,P. E. L. de Boisbaudran,69.723,39,31,31
32,Ge,Germanium,Metalloid,Yes,Solid,No,14,4,p,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p2,[Ar] 3d10 4s2 4p2,4,4,Grayish-White,14,4,5.323,0.32,36.94,334,125,122,211,2.01,"-4,2,4",762,60.2,118.935,1886,C. A. Winkler,72.63,41,32,32
33,As,Arsenic,Metalloid,Yes,Solid,No,15,4,p,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p3,[Ar] 3d10 4s2 4p3,5,4,Metallic Grey,15,4,5.776,0.329,24.44,32.4,114,119,185,2.18,"-3,3,5",947,50.2,77.65,NA,NA,74.92159,42,33,33
34,Se,Selenium,Nonmetal,Yes,Solid,No,16,4,p,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p4,[Ar] 3d10 4s2 4p4,6,4,"Black, Red, And Gray (Not Pictured) Allotropes",16,4,4.809,0.321,6.69,95.48,103,116,190,2.55,"-2,2,4,6",941,0.519,194.958,1817,"J. Berzelius, G. Gahn",78.97,45,34,34
35,Br,Bromine,Halogen,Yes,Liquid,No,17,4,p,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p5,[Ar] 3d10 4s2 4p5,7,4,NA,17,4,3.122,0.474,10.57,29.96,94,114,185,2.96,"-1,1,3,5,7",1139.9,0.12,324.537,1825,"J. Balard, C. Löwig",79.9,45,35,35
36,Kr,Krypton,Noble gas,Yes,Gas,No,18,4,p,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6,[Ar] 3d10 4s2 4p6,8,4,"Colorless Gas, Exhibiting A Whitish Glow In A High Electric Field",18,4,0.003733,0.248,1.64,9.08,88,110,202,3,0,1350.8,0.00943,-60,1898,"W. Ramsay, W. Travers",83.8,48,36,36
37,Rb,Rubidium,Alkali metal,Yes,Solid,No,1,5,s,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1,[Kr] 5s1,1,5,Grey White,1,5,1.532,0.363,2.19,75.77,265,211,303,0.82,1,403,58.2,46.884,1861,"R. Bunsen, G. R. Kirchhoff",85.468,48,37,37
38,Sr,Strontium,Alkaline earth metal,Yes,Solid,No,2,5,s,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2,[Kr] 5s2,2,5,NA,2,5,2.64,0.301,7.43,141,219,192,249,0.95,2,549.5,35.4,5.023,1787,W. Cruikshank,87.62,50,38,38
39,Y,Yttrium,Transition metal,Yes,Solid,No,3,5,d,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d1,[Kr] 4d1 5s2,NA,5,Silvery White,3,5,4.469,0.298,11.42,390,212,162,NA,1.22,3,600,17.2,29.6,1794,J. Gadolin,88.90584,50,39,39
